Collection,Book Title,Author,Language,Domain,File Type,Chunks,Size (MB),File Name,Ingested At
alexandria,AI Agents with MCP,Kyle Stratis,eng,technical,EPUB,70,1.36,AI Agents with MCP - Kyle Stratis.epub,2026-01-30
alexandria,"Generative AI for Beginners: Understanding Artificial Intelligence. Unlocking the Matrix with GPT-4, LLMs, Deep Neural Networks, and Practical Machine Learning",Alex Quant,eng,general,EPUB,62,0.29,Generative AI for Beginners_ Un - Alex Quant.epub,2026-01-30
alexandria,Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,eng,general,EPUB,527,2.46,Life 3.0_ Being Human in the Ag - Max Tegmark.epub,2026-01-30
alexandria,Our Final Invention: Artificial Intelligence and the End of the Human Era,James Barrat,eng,general,EPUB,371,0.29,Our Final Invention_ Artificial - James Barrat.epub,2026-01-30
alexandria,Scary Smart: The Future of Artificial Intelligence and How You Can Save Our Worl,Mo Gawdat,eng,general,EPUB,388,1.89,Scary Smart_ The Future of Arti - Mo Gawdat.epub,2026-01-30
alexandria,The Data Model Resource Book Vol 3: Universal Patterns for Data Modeling,Len Silverston &Paul Agnew,eng,general,EPUB,814,32.59,The Data Model Resource Book Vol 3_ Univer - Len Silverston.epub,2026-01-30
alexandria,The C4 model for visualising software architecture,Simon Brown,eng,general,EPUB,79,10.37,The C4 model for visualising software arch - Simon Brown.epub,2026-01-30
alexandria,Clean Architecture: A Craftsman's Guide to Software Structure and Design,Robert C. Martin,eng,general,EPUB,395,6.28,Clean Architecture_ A Craftsman - Robert C. Martin.epub,2026-01-30
alexandria,Phoenix: Therapeutic Patterns of Milton H. Erickson,David Gordon &Maribeth Meyers-Anderson,eng,general,EPUB,328,0.48,Phoenix_ Therapeutic Patterns o - David Gordon.epub,2026-01-30
alexandria,Frogs Into Princes: Neuro Linguistic Programming,Richard Bandler &John Grinder,eng,general,EPUB,396,0.35,Frogs Into Princes_ Neuro Lingu - Richard Bandler.epub,2026-01-30
alexandria,Richard Bandler's Guide to Trance-formation: Make Your Life Great,Richard Bandler &Paul McKenna,eng,general,EPUB,324,4.6,Richard Bandler's Guide to Tran - Richard Bandler.epub,2026-01-30
alexandria,The Structure of Magic II: A Book About Communication and Change,Richard Bandler &John Grinder,eng,general,EPUB,278,0.31,The Structure of Magic II_ A Bo - John Grinder.epub,2026-01-30
alexandria,Reframing: Neuro–Linguistic Programming™ and the Transformation of Meaning,Richard Bandler &John Grinder,eng,general,EPUB,408,0.27,Reframing_ Neuro-Linguistic Pro - Richard Bandler.epub,2026-01-30
alexandria,My Voice Will Go with You: The Teaching Tales of Milton H. Erickson,Sidney Rosen &Milton H. Erickson,eng,general,EPUB,340,0.44,My Voice Will Go with You_ The - Milton H. Erickson.epub,2026-01-30
alexandria,"Thinking, Fast and Slow",Daniel Kahneman,eng,general,EPUB,865,1.88,"Thinking, Fast and Slow - Daniel Kahneman.epub",2026-01-30
alexandria,"How to Take Smart Notes: One Simple Technique to Boost Writing, Learning and Thinking – for Students, Academics and Nonfiction Book Writers",Sönke Ahrens,eng,general,EPUB,259,0.22,How to Take Smart Notes_ One Simple Techni - Sönke Ahrens.epub,2026-01-30
alexandria,Lateral Thinking,Edward de Bono,eng,general,EPUB,322,2.49,Lateral Thinking - Edward de Bono.epub,2026-01-30
alexandria,Six Thinking Hats,Edward de Bono,eng,general,EPUB,186,0.64,Six Thinking Hats - Edward de Bono.epub,2026-01-30
alexandria,Parallel Thinking,Edward de Bono,eng,general,EPUB,339,1.86,Parallel Thinking - Edward de Bono.epub,2026-01-30
alexandria,Atlas of Management Thinking,Edward de Bono,eng,general,EPUB,196,15.59,Atlas of Management Thinking - Edward de Bono.epub,2026-01-30
alexandria,The Organized Mind: Thinking Straight in the Age of Information Overload,Daniel J. Levitin,eng,general,EPUB,924,4.43,The Organized Mind_ Thinking St - Daniel J. Levitin.epub,2026-01-30
alexandria,A Field Guide to Lies: Critical Thinking in the Information Age,Daniel J. Levitin,eng,general,EPUB,366,16.54,A Field Guide to Lies_ Critical - Daniel J. Levitin.epub,2026-01-30
alexandria,Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,eng,general,EPUB,355,1.73,Blink_ The Power of Thinking Wi - Malcolm Gladwell.epub,2026-01-30

TOTAL,,,,,,8592,107.33771800994873,,
